name,city,state,country,innovator_level,description,business_model,food_recovery_hierarchy_options,innovator_category_options,innovator_subcategory_options,solutions,founded,website,facebook_url,twitter_url,linkedin_url,email,lat,lng
301 Organics,Pasadena,CA,USA,Local ,"301 Organics is an environmental consulting company specializing in Zero-waste planning, food recovery, composting and landfill alternative solutions.  We are a team of environmental planning, composting and community engagements specialists working towards building a new and sustainable waste management infrastructure for ensuring organic waste is repurposed to the highest and best use.",For-Profit,Recycling,Composting,"Waste Tracking & Analytics, Consumer Education Campaigns, Donation Transportation, Donation Liability Education, In-Vessel Composting, Community Composting, Centralized Composting, Animal Feed",Centralized composting,2009,https://ww.301organics.com,,,,Clhinkel@301organics.com,,
After the Harvest,Kansas City,MO,USA,Regional,"After the Harvest rescues nutritious fruits and vegetables from going to waste and donates them to agencies that serve hungry people, primarily in Greater Kansas City. Our volunteers glean after the harvest, picking what's left in farmers' fields and picking up already harvested leftover produce. The majority of the funds we raise helps secure semi-truckloads of donated produce that might otherwise end up in landfills.",Nonprofit,Recovery,Donation Transportation,"Donation Transportation, Donation Storage & Handling, Donation Tax Incentives",Donation Transportation,2014,https://aftertheharvestkc.org/,https://www.facebook.com/AftertheHarvestKC/,https://twitter.com/afterharvestkc,https://www.linkedin.com/company/after-the-harvest/,info@aftertheharvestkc.org,39.066739,-94.590688
Blue Mangoes,Milwaukee,WI,USA,National,"Blue Mangoes designs solar fruit dehydrators which work without any electricity generation. These technologies are employed across the world and American urban farmers, transforming would-be overabundant and wasted fruits into all-natural and ethically-sourced products. We use byproducts of fruit drying (seeds/pits, juice, and excess pulp) to create new products.",For-Profit,Prevention,Shelf-Life Extension,"Produce Specifications (Imperfect Produce), Value-Added Processing",Value-Added Processing,2017,http://www.bluemangoesfruit.com,https://www.facebook.com/bluemangoesfruit/,https://twitter.com/bluemangoescorp,https://www.linkedin.com/company/bluemangoes,jshefner@bluemangoes.org,40.741895,-73.989308
BOUNTY & SOUL,Black Mountain,NC,USA,Local ,"Bounty & Soul co-creates healthy communities through a cooperative model that provides access to whole foods, nutrition literacy, and wellness resources. Bounty & Soul rescues hundreds of thousands of pounds of nutritious food from fields and stores that would otherwise go to waste, and we use that food as a catalyst for change in our community, empowering participants to make healthier choices to increase overall wellbeing.",Nonprofit,Recovery,Donation Coordinator,"Donation Storage & Handling, Consumer Education Campaigns",Donation Storage & Handling,2014,http://www.bountyandsoul.org,https://www.facebook.com/bountyandsoul/,https://twitter.com/bounty_andsoul,,bruce@bountyandsoul.org,35.6100968,-82.3422327
"Cambridge Crops, Inc.",Somerville,MA,USA,National,"Through the implementation of a natural and edible solutions that extend shelf life of perishable goods, Cambridge Crops is addressing the broader societal need for reducing food waste.  Cambridge Crops' technology ultimately offers customers along the value chain a cost-effective solution for improved distribution, food security, and nutrition.",For-Profit,Prevention,Shelf-Life Extension,"Packaging Adjustments, Spoilage Prevention Packaging, Cold Chain Management",Spoilage Prevention Packaging,2016,https://www.cambridge-crops.com,,https://twitter.com/cambridge_crops,https://www.linkedin.com/company/cambrigde-crops/,adam@cambridge-crops.com,42.381561,-71.102875
Center for EcoTechnology Wasted Food Solutions,Northampton,MA,USA,Local,"The Center for EcoTechnology (CET) helps people and businesses save energy and reduce waste. CET acts as a catalyst to accelerate the development of a vibrant marketplace to divert wasted food from the commercial and institutional sectors. Our job is to get to know all the solution providers like haulers, food rescue organizations, technology platforms for prevention, composting facilities, and anaerobic digesters, and identify market niches and ideal customer types. Armed with that information, we then engage with businesses and institutions that have wasted food and actively connect them with the service providers that will provide the best solution. We take into account the location and size of the business, the type or amount of wasted food to be diverted, and associated costs. Once the businesses have this information, they can make an informed decision about how to reduce or divert their wasted food.",Nonprofit,Recovery,Secondary Marketplaces,"Community Composting, Business to Business",Donation Transportation,1976,https://wastedfood.cetonline.org/,https://www.facebook.com/centerforecotechnology/,https://twitter.com/cetonline?lang=en,,wastedfood@cetonline.org,39.7486175,-104.9786876
Chefs to End Hunger,Los Angeles,CA,USA,Local,"Chefs to End Hunger was started in 2012 by LA&SF Specialty, with the mission to facilitate the redistribution of prepared food from hotel, restaurant and other food service customers, to local charitable organizations that serve meals to their communities in need.Chefs to End Hunger has collaborated with the WWF, Rockefeller Foundation, Joint Venture Silicon Valley, SCU Food and Agribusiness Institute and The Los Angeles Food Policy Council. Chefs to End Hunger has collaborated with the WWF, Rockefeller Foundation, Joint Venture Silicon Valley, SCU Food and Agribusiness Institute and The Los Angeles Food Policy Council.",Nonprofit,Recovery,Donation Coordinator,Donation Coordinator,Value-Added Processing,2012,https://www.chefsendhunger.org/,https://www.facebook.com/laandsfspecialty/,,,brette.waters@chefsendhunger.org,43.0152786,-85.5964584
Collaborative for Fresh Produce,Richardson,TX,USA,Regional,"The Collaborative for Fresh Produce's (CFP) vision is that everyone has access to the fresh produce they need to support a healthy lifestyle.  CFP's mission is to fight hunger by fighting food waste through partnerships with America's farming and food bank communities to distribute donations of imperfect and surplus produce to those in need. CFP's programming recovers food that would have otherwise been wasted and distributes it to the food insecure.  By partnering with America's farming and food bank communities, CFP has created an innovative, sustainable, and scalable model that efficiently distributes fresh produce, a critical part of a healthy diet, to communities in need. ",Nonprofit,Prevention,Donation Coordinator,"Donation Matching Software, Donation Storage & Handling, Donation Transportation, Value-Added Processing, Donation Liability Education, Donation Tax Incentives",Donation Storage & Handling,2018,https://cfproduce.org,https://www.facebook.com/collaborativeforfreshproduce/,,https://www.linkedin.com/company/collaborative-for-fresh-produce/about/,sommern@cfproduce.org,32.9971,-96.70612
Community Through Hope.org,Chula Vista,CA,USA,National,"We are mid scale redistribution hub /food bank that serves through distribution, food recovery, gardening and gleaning of nutrition.",Nonprofit,Recovery,Donation Transportation,"Centralized Composting, Donation Storage & Handling",Donation Storage & Handling,2018,http://communitythroughhope.org,https://www.facebook.com/search/top/?q=community%20through%20hope.org&epa=SEARCH_BOX,,,rosy@communitythroughhope.org,32.650129,-117.09065
Denver Food Rescue,Denver,CO,USA,Local ,"Denver Food Rescue recovers mainly fresh produce from grocery stores, wholesale distributors, and farmers markets, and distributes it to low-income schools and community centers in the Denver Metro Area. DFR also cofounded Fresh Food Connect (national), and runs a Fresh Food Connect chapter in Northeast Denver, rescuing food from backyard gardens.",Nonprofit,Recovery,Donation Transportation,"Donation Transportation, Donation Matching Software, Donation Tax Incentives, Community Composting",Donation Transportation,2012,http://denverfoodrescue.org,https://facebook.com/denverfoodrescue,http://twitter.com/denverfoodrescu,https://linkedin.com/company/denver-food-rescue,turner@denverfoodrescue.org,39.7486175,-104.9786876
